"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"
2012-12-28 00:00:00	11.310749999999999	7.79615	12	4	1	Day
2012-12-29 00:00:00	12.785900000000002	6.2661500000000006	12	5	0	Day
2012-12-30 00:00:00	10.73655	6.2875000000000005	12	6	0	Day
2012-12-31 00:00:00	11.010599999999998	6.0206	12	0	1	Day
2013-01-01 00:00:00	8.948899999999998	4.6892249999999995	1	1	1	Holiday
2013-01-02 00:00:00	8.482950000000002	3.6900000000000004	1	2	1	Day
2013-01-03 00:00:00	9.571700000000002	5.1821	1	3	1	Day
2013-01-04 00:00:00	9.950099999999999	7.028549999999999	1	4	1	Day
2013-01-05 00:00:00	8.820950000000002	6.7459750000000005	1	5	0	Day
2013-01-06 00:00:00	7.944500000000001	5.8202	1	6	0	Day
2013-01-07 00:00:00	7.46705	4.671125000000002	1	0	1	Day
2013-01-08 00:00:00	6.012800000000001	3.4588	1	1	1	Day
2013-01-09 00:00:00	5.676500000000001	2.8954000000000004	1	2	1	Day
2013-01-10 00:00:00	8.602	4.43815	1	3	1	Day
2013-01-11 00:00:00	8.172800000000002	3.577175	1	4	1	Day
2013-01-12 00:00:00	6.7799499999999995	2.70765	1	5	0	Day
2013-01-13 00:00:00	4.924950000000001	2.1567	1	6	0	Day
2013-01-14 00:00:00	3.1245	0.5292500000000001	1	0	1	Day
2013-01-15 00:00:00	3.8716000000000004	1.1007750000000003	1	1	1	Day
2013-01-16 00:00:00	2.2049499999999997	-2.05925	1	2	1	Day
2013-01-17 00:00:00	0.48955000000000004	-3.5180000000000007	1	3	1	Day
2013-01-18 00:00:00	0.44755	-3.32835	1	4	1	Day
2013-01-19 00:00:00	2.52	-0.022200000000000067	1	5	0	Day
2013-01-20 00:00:00	2.1241000000000003	0.005350000000000216	1	6	0	Day
2013-01-21 00:00:00	4.3995999999999995	0.9969	1	0	1	Day
2013-01-22 00:00:00	5.468400000000002	1.61795	1	1	1	Day
2013-01-23 00:00:00	4.4502999999999995	1.46025	1	2	1	Day
2013-01-24 00:00:00	3.7266500000000002	0.14604999999999996	1	3	1	Day
2013-01-25 00:00:00	1.9073	-1.9471999999999998	1	4	1	Day
2013-01-26 00:00:00	5.927850000000001	-0.83415	1	5	0	Day
2013-01-27 00:00:00	8.1722	3.25325	1	6	0	Day
2013-01-28 00:00:00	9.652550000000002	3.8937	1	0	1	Day
2013-01-29 00:00:00	11.381049999999998	7.251150000000003	1	1	1	Day
2013-01-30 00:00:00	14.0227	8.624900000000002	1	2	1	Day
2013-01-31 00:00:00	12.258299999999998	6.283799999999999	1	3	1	Day
2013-02-01 00:00:00	11.386850000000003	7.464100000000001	2	4	1	Day
2013-02-02 00:00:00	7.3736999999999995	2.73285	2	5	0	Day
2013-02-03 00:00:00	6.07255	1.3507000000000002	2	6	0	Day
2013-02-04 00:00:00	10.500549999999999	5.27745	2	0	1	Day
2013-02-05 00:00:00	7.6033	3.6237500000000002	2	1	1	Day
2013-02-06 00:00:00	6.643949999999999	3.1793250000000004	2	2	1	Day
2013-02-07 00:00:00	5.40905	1.8154000000000001	2	3	1	Day
2013-02-08 00:00:00	4.8069	1.1182	2	4	1	Day
2013-02-09 00:00:00	4.33405	0.2805500000000001	2	5	0	Day
2013-02-10 00:00:00	4.452600000000001	0.8016500000000002	2	6	0	Day
2013-02-11 00:00:00	5.897850000000001	2.1963500000000002	2	0	1	Day
2013-02-12 00:00:00	4.431749999999999	1.3159000000000005	2	1	1	Day
2013-02-13 00:00:00	4.1208	0.65225	2	2	1	Day
2013-02-14 00:00:00	7.39175	0.5494500000000002	2	3	1	Day
2013-02-15 00:00:00	9.180200000000001	3.5739000000000005	2	4	1	Day
2013-02-16 00:00:00	8.6903	1.00215	2	5	0	Day
2013-02-17 00:00:00	7.72895	0.6121	2	6	0	Day
2013-02-18 00:00:00	8.526500000000002	0.96405	2	0	1	Day
2013-02-19 00:00:00	9.97035	-0.78125	2	1	1	Day
2013-02-20 00:00:00	8.81905	0.34605	2	2	1	Day
2013-02-21 00:00:00	4.31125	-0.7537999999999998	2	3	1	Day
2013-02-22 00:00:00	1.77435	-2.4408000000000003	2	4	1	Day
2013-02-23 00:00:00	-0.16009999999999996	-3.32305	2	5	0	Day
2013-02-24 00:00:00	1.2851	-1.8634999999999997	2	6	0	Day
2013-02-25 00:00:00	2.9693000000000005	-0.5983499999999999	2	0	1	Day
2013-02-26 00:00:00	4.6706	-0.40480000000000005	2	1	1	Day
2013-02-27 00:00:00	5.281550000000001	0.7258500000000003	2	2	1	Day
2013-02-28 00:00:00	6.1064500000000015	0.6225500000000002	2	3	1	Day
2013-03-01 00:00:00	5.45255	2.0525	3	4	1	Day
2013-03-02 00:00:00	5.478500000000001	1.700275	3	5	0	Day
2013-03-03 00:00:00	9.355099999999998	0.37270000000000003	3	6	0	Day
2013-03-04 00:00:00	14.33435	0.7494000000000001	3	0	1	Day
2013-03-05 00:00:00	14.149349999999998	6.84995	3	1	1	Day
2013-03-06 00:00:00	12.866249999999997	8.6937	3	2	1	Day
2013-03-07 00:00:00	14.9491	8.870199999999999	3	3	1	Day
2013-03-08 00:00:00	13.8742	9.4991	3	4	1	Day
2013-03-09 00:00:00	14.648700000000002	7.356550000000001	3	5	0	Day
2013-03-10 00:00:00	11.9146	5.737500000000001	3	6	0	Day
2013-03-11 00:00:00	8.51285	4.1317	3	0	1	Day
2013-03-12 00:00:00	4.1559	0.34777500000000006	3	1	1	Day
2013-03-13 00:00:00	3.8565000000000005	-1.9505000000000003	3	2	1	Day
2013-03-14 00:00:00	4.9376	-0.32309999999999994	3	3	1	Day
2013-03-15 00:00:00	7.189850000000001	-1.8256000000000001	3	4	1	Day
2013-03-16 00:00:00	9.43665	0.7164500000000003	3	5	0	Day
2013-03-17 00:00:00	8.4364	4.514525000000001	3	6	0	Day
2013-03-18 00:00:00	7.879650000000001	2.95355	3	0	1	Day
2013-03-19 00:00:00	9.829400000000001	3.5535	3	1	1	Day
2013-03-20 00:00:00	10.06705	4.7982000000000005	3	2	1	Day
2013-03-21 00:00:00	11.57785	3.4683	3	3	1	Day
2013-03-22 00:00:00	14.812850000000001	5.0512999999999995	3	4	1	Day
2013-03-23 00:00:00	12.119000000000002	6.88205	3	5	0	Day
2013-03-24 00:00:00	9.4263	5.65525	3	6	0	Day
2013-03-25 00:00:00	9.19655	4.37565	3	0	1	Day
2013-03-26 00:00:00	7.999650000000001	3.2459000000000002	3	1	1	Day
2013-03-27 00:00:00	8.7618	1.9103500000000002	3	2	1	Day
2013-03-28 00:00:00	7.6189	3.4051	3	3	1	Day
2013-03-29 00:00:00	8.46805	2.3271	3	4	1	Day
2013-03-30 00:00:00	7.87575	4.2543500000000005	3	5	0	Day
2013-03-31 00:00:00	8.26825	1.6627000000000003	3	6	0	Day
2013-04-01 00:00:00	9.829	1.0368500000000003	4	0	1	Holiday
2013-04-02 00:00:00	10.990600000000002	2.82395	4	1	1	Day
2013-04-03 00:00:00	10.59635	1.92595	4	2	1	Day
2013-04-04 00:00:00	8.966199999999999	3.0141500000000008	4	3	1	Day
2013-04-05 00:00:00	8.003300000000001	4.02275	4	4	1	Day
2013-04-06 00:00:00	7.81965	3.5767	4	5	0	Day
2013-04-07 00:00:00	10.678499999999998	2.7380999999999998	4	6	0	Day
2013-04-08 00:00:00	10.801200000000001	4.7523	4	0	1	Day
2013-04-09 00:00:00	11.914599999999998	5.93945	4	1	1	Day
2013-04-10 00:00:00	13.664299999999999	7.818099999999999	4	2	1	Day
2013-04-11 00:00:00	14.23095	10.40085	4	3	1	Day
2013-04-12 00:00:00	14.37265	8.88575	4	4	1	Day
2013-04-13 00:00:00	16.219649999999998	7.4453	4	5	0	Day
2013-04-14 00:00:00	23.100850000000005	10.5953	4	6	0	Day
2013-04-15 00:00:00	19.6109	11.441650000000001	4	0	1	Day
2013-04-16 00:00:00	19.262350000000005	10.90115	4	1	1	Day
2013-04-17 00:00:00	23.890399999999996	10.898900000000001	4	2	1	Day
2013-04-18 00:00:00	17.34665	10.908575	4	3	1	Day
2013-04-19 00:00:00	12.25665	7.9014750000000005	4	4	1	Day
2013-04-20 00:00:00	12.079350000000002	5.5359	4	5	0	Day
2013-04-21 00:00:00	14.161850000000001	4.70015	4	6	0	Day
2013-04-22 00:00:00	14.504850000000003	6.09405	4	0	1	Day
2013-04-23 00:00:00	17.2307	7.061300000000001	4	1	1	Day
2013-04-24 00:00:00	21.729299999999995	7.57145	4	2	1	Day
2013-04-25 00:00:00	23.7384	10.04775	4	3	1	Day
2013-04-26 00:00:00	14.7756	8.765199999999998	4	4	1	Day
2013-04-27 00:00:00	9.650850000000002	5.885625000000001	4	5	0	Day
2013-04-28 00:00:00	10.762649999999999	4.5493	4	6	0	Day
