ds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-01-06 00:30:00,45.56,40.28,39.2,36.22,34.04,38.58,43.32,50.0,49.53,50.87,50.86,50.17,47.97,45.2,41.45,40.08,43.62,48.55,52.32,53.1,48.78,43.91,44.58,45.73
2015-01-07 00:30:00,40.0,36.69,37.45,32.08,29.48,34.94,41.74,49.17,54.44,50.99,50.0,51.22,50.15,51.46,50.88,48.0,47.14,51.07,52.46,48.78,47.45,42.02,45.57,45.6
2015-01-08 00:30:00,43.88,35.65,35.87,30.17,24.54,32.0,40.96,49.53,48.07,48.75,49.29,49.33,48.43,47.21,51.4,40.5,41.1,54.5,51.25,50.31,47.97,40.5,43.8,44.05
2015-01-09 00:30:00,32.28,29.71,28.97,25.12,25.46,25.84,31.86,44.0,45.82,47.16,42.52,43.0,41.01,40.0,39.94,39.96,39.96,52.44,41.0,38.95,36.51,34.6,31.09,29.46
2015-01-10 00:30:00,25.88,25.78,25.5,25.34,25.24,21.6,11.76,29.39,32.32,39.64,47.01,51.05,52.58,48.61,35.76,36.17,39.94,47.04,59.94,42.0,35.42,35.0,34.96,32.91
2015-01-11 00:30:00,26.95,24.22,27.08,23.44,23.56,23.91,23.9,17.21,25.08,25.96,28.83,32.43,31.8,31.0,31.0,31.0,30.0,45.0,50.0,42.0,36.08,34.06,33.0,32.19
2015-01-12 00:30:00,27.59,26.81,25.75,25.77,19.91,19.84,33.98,45.51,48.06,46.2,45.0,45.38,42.49,41.53,39.0,39.0,39.94,48.0,47.89,48.42,41.89,37.88,37.44,35.0
2015-01-13 00:30:00,33.04,26.56,26.29,25.04,24.99,25.39,33.78,44.94,49.04,49.64,55.95,60.01,46.04,49.74,44.89,47.93,46.98,54.94,49.22,46.38,42.44,34.06,33.97,31.39
2015-01-14 00:30:00,34.58,29.67,27.49,26.13,25.98,28.45,34.78,48.0,47.79,48.14,45.5,45.03,45.5,40.81,42.04,38.94,41.15,50.0,50.99,50.94,44.99,38.62,39.54,38.92
2015-01-15 00:30:00,30.44,24.91,25.49,25.43,25.47,19.07,32.33,50.66,49.01,51.64,51.1,55.96,51.68,55.28,55.12,52.67,44.94,66.1,50.45,49.47,42.98,38.0,35.65,34.75
