ds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-01-06 00:30:00,36.9,35.04,34.5,33.47,33.97,36.02,39.96,42.66,44.94,50.87,50.86,50.17,47.97,45.2,41.45,40.08,43.62,48.55,45.71,39.94,44.94,42.51,44.0,39.94
2015-01-07 00:30:00,36.11,34.31,32.55,32.08,29.48,34.94,35.78,45.98,47.91,48.91,50.0,51.22,50.15,51.46,50.88,48.0,47.14,51.07,47.42,44.83,39.1,42.0,37.92,33.51
2015-01-08 00:30:00,33.11,32.32,31.1,30.17,24.54,32.0,38.81,42.44,45.55,48.75,49.29,49.33,48.43,47.21,51.4,40.5,41.1,54.5,51.25,50.31,47.97,40.5,43.8,44.05
2015-01-09 00:30:00,32.28,29.71,28.97,25.12,25.46,25.84,31.86,44.0,45.82,47.16,42.52,43.0,41.01,40.0,39.94,39.96,39.96,52.44,41.0,38.95,36.51,34.6,31.09,29.46
2015-01-10 00:30:00,25.88,25.78,25.5,25.34,25.24,21.6,20.83,29.39,32.32,39.64,47.01,51.05,52.58,48.61,35.76,36.17,39.94,47.04,59.94,42.0,35.42,35.0,34.96,32.91
2015-01-11 00:30:00,26.95,24.22,27.08,23.44,23.56,23.91,23.9,24.32,25.08,25.96,28.83,32.43,31.8,31.0,31.0,31.0,30.0,45.0,50.0,42.0,36.08,34.06,33.0,32.19
2015-01-12 00:30:00,27.59,26.81,25.75,25.77,19.91,19.84,33.98,45.51,45.54,46.2,45.0,45.38,42.49,41.53,39.0,39.0,39.94,48.0,47.89,47.44,41.89,37.88,37.44,35.0
2015-01-13 00:30:00,33.04,26.56,26.29,25.04,24.99,25.39,33.78,44.94,49.04,49.64,55.95,60.01,46.04,49.74,44.89,47.93,46.98,54.94,49.22,44.6,42.44,34.06,33.97,31.39
2015-01-14 00:30:00,34.58,29.67,27.49,26.13,25.98,28.45,34.78,48.0,47.79,48.14,45.5,45.03,45.5,40.81,42.04,38.94,41.15,50.0,50.99,44.0,44.99,38.62,39.54,38.92
2015-01-15 00:30:00,30.44,24.91,25.49,25.43,25.47,19.07,32.33,50.66,49.01,51.64,51.1,55.96,51.68,55.28,55.12,52.67,44.94,66.1,50.45,49.47,42.98,38.0,35.65,34.75
2015-01-16 00:30:00,35.95,30.86,29.47,24.8,25.4,29.58,39.73,49.49,50.71,48.98,50.54,49.76,48.43,46.17,44.99,44.05,47.1,52.49,53.54,48.02,41.51,38.66,40.64,43.18
2015-01-17 00:30:00,36.54,33.17,32.26,27.92,27.05,27.24,27.41,33.17,41.99,47.44,46.57,43.39,43.0,38.08,34.5,33.0,33.84,42.44,45.84,46.43,39.96,32.6,35.0,30.35
2015-01-18 00:30:00,36.24,31.43,28.75,27.57,24.34,25.68,28.79,31.41,33.0,37.23,39.07,42.44,43.33,38.25,36.85,36.85,38.0,50.0,53.67,51.02,50.62,42.44,44.94,40.0
2015-01-19 00:30:00,37.44,34.9,33.04,29.53,28.07,31.17,42.87,52.07,56.49,52.38,48.84,47.95,44.97,47.95,47.72,47.43,48.19,52.16,56.26,52.96,45.0,40.0,37.53,31.46
2015-01-20 00:30:00,38.71,34.99,31.9,32.45,33.41,34.81,39.4,53.39,58.88,58.8,57.34,57.46,53.53,52.93,52.38,52.1,51.04,58.55,66.65,56.02,50.01,42.73,42.02,37.44
2015-01-21 00:30:00,34.97,32.07,31.53,31.2,33.27,35.07,43.71,54.12,58.39,56.6,54.96,53.99,48.49,49.59,48.0,50.0,51.02,55.47,57.1,51.95,43.22,38.98,38.38,37.09
2015-01-22 00:30:00,31.44,29.93,29.0,28.96,29.38,31.09,36.92,48.42,53.79,50.52,50.53,49.89,52.44,54.01,51.54,49.99,51.99,59.2,56.99,53.81,45.57,39.86,38.0,37.44
