ds,Nuclear_indisponibility
0,2012-01-01,0.0
1,2012-01-02,0.0
2,2012-01-03,0.0
3,2012-01-04,0.0
4,2012-01-05,2210.0
5,2012-01-06,1300.0
6,2012-01-07,1300.0
7,2012-01-08,1300.0
8,2012-01-09,1300.0
9,2012-01-10,0.0
10,2012-01-11,0.0
11,2012-01-12,0.0
12,2012-01-13,0.0
13,2012-01-14,0.0
14,2012-01-15,0.0
15,2012-01-16,0.0
16,2012-01-17,0.0
17,2012-01-18,0.0
18,2012-01-19,1820.0
19,2012-01-20,915.0
20,2012-01-21,0.0
21,2012-01-22,0.0
22,2012-01-23,0.0
23,2012-01-24,1310.0
24,2012-01-25,1310.0
25,2012-01-26,1310.0
26,2012-01-27,0.0
27,2012-01-28,0.0
28,2012-01-29,0.0
29,2012-01-30,0.0
30,2012-01-31,0.0
31,2012-02-01,0.0
32,2012-02-02,0.0
33,2012-02-03,0.0
34,2012-02-04,0.0
35,2012-02-05,0.0
36,2012-02-06,0.0
37,2012-02-07,0.0
38,2012-02-08,0.0
39,2012-02-09,915.0
40,2012-02-10,1300.0
41,2012-02-11,1300.0
42,2012-02-12,1300.0
43,2012-02-13,1300.0
44,2012-02-14,1300.0
45,2012-02-15,2210.0
46,2012-02-16,2210.0
47,2012-02-17,2210.0
48,2012-02-18,910.0
49,2012-02-19,910.0
50,2012-02-20,910.0
51,2012-02-21,2210.0
52,2012-02-22,2210.0
53,2012-02-23,2210.0
54,2012-02-24,2210.0
55,2012-02-25,2210.0
56,2012-02-26,2210.0
57,2012-02-27,2210.0
58,2012-02-28,1300.0
59,2012-02-29,0.0
60,2012-03-01,0.0
61,2012-03-02,0.0
62,2012-03-03,0.0
63,2012-03-04,0.0
64,2012-03-05,0.0
65,2012-03-06,880.0
66,2012-03-07,0.0
67,2012-03-08,0.0
68,2012-03-09,0.0
69,2012-03-10,1300.0
70,2012-03-11,0.0
71,2012-03-12,0.0
72,2012-03-13,0.0
73,2012-03-14,0.0
74,2012-03-15,0.0
75,2012-03-16,0.0
76,2012-03-17,0.0
77,2012-03-18,0.0
78,2012-03-19,0.0
79,2012-03-20,880.0
80,2012-03-21,1310.0
81,2012-03-22,0.0
82,2012-03-23,0.0
83,2012-03-24,0.0
84,2012-03-25,0.0
85,2012-03-26,0.0
86,2012-03-27,0.0
87,2012-03-28,0.0
88,2012-03-29,0.0
89,2012-03-30,0.0
90,2012-03-31,0.0
91,2012-04-01,0.0
92,2012-04-02,0.0
93,2012-04-03,0.0
94,2012-04-04,0.0
95,2012-04-05,2245.0
96,2012-04-06,1330.0
97,2012-04-07,1330.0
98,2012-04-08,1330.0
99,2012-04-09,1330.0
100,2012-04-10,1330.0
101,2012-04-11,2245.0
102,2012-04-12,2245.0
103,2012-04-13,2245.0
104,2012-04-14,2245.0
105,2012-04-15,2235.0
106,2012-04-16,1330.0
107,2012-04-17,1330.0
108,2012-04-18,1330.0
109,2012-04-19,1330.0
110,2012-04-20,1330.0
111,2012-04-21,0.0
112,2012-04-22,1330.0
113,2012-04-23,0.0
114,2012-04-24,0.0
115,2012-04-25,0.0
116,2012-04-26,0.0
117,2012-04-27,1300.0
118,2012-04-28,1300.0
119,2012-04-29,0.0
120,2012-04-30,0.0
121,2012-05-01,0.0
122,2012-05-02,0.0
123,2012-05-03,0.0
124,2012-05-04,0.0
125,2012-05-05,0.0
126,2012-05-06,0.0
127,2012-05-07,0.0
128,2012-05-08,880.0
129,2012-05-09,0.0
130,2012-05-10,0.0
131,2012-05-11,0.0
132,2012-05-12,0.0
133,2012-05-13,0.0
134,2012-05-14,910.0
135,2012-05-15,0.0
136,2012-05-16,0.0
137,2012-05-17,0.0
138,2012-05-18,0.0
139,2012-05-19,0.0
140,2012-05-20,0.0
141,2012-05-21,0.0
142,2012-05-22,910.0
143,2012-05-23,910.0
144,2012-05-24,910.0
145,2012-05-25,910.0
146,2012-05-26,910.0
147,2012-05-27,2830.0
148,2012-05-28,4325.0
149,2012-05-29,4130.0
150,2012-05-30,4130.0
151,2012-05-31,4130.0
152,2012-06-01,2800.0
153,2012-06-02,2800.0
154,2012-06-03,2800.0
155,2012-06-04,3710.0
156,2012-06-05,3540.0
157,2012-06-06,2210.0
158,2012-06-07,910.0
159,2012-06-08,910.0
160,2012-06-09,0.0
161,2012-06-10,0.0
162,2012-06-11,1330.0
163,2012-06-12,0.0
164,2012-06-13,0.0
165,2012-06-14,0.0
166,2012-06-15,0.0
167,2012-06-16,0.0
168,2012-06-17,0.0
169,2012-06-18,0.0
170,2012-06-19,0.0
171,2012-06-20,910.0
172,2012-06-21,910.0
173,2012-06-22,910.0
174,2012-06-23,0.0
175,2012-06-24,0.0
176,2012-06-25,0.0
177,2012-06-26,0.0
178,2012-06-27,0.0
179,2012-06-28,0.0
180,2012-06-29,0.0
181,2012-06-30,0.0
182,2012-07-01,0.0
183,2012-07-02,0.0
184,2012-07-03,0.0
185,2012-07-04,0.0
186,2012-07-05,0.0
187,2012-07-06,0.0
188,2012-07-07,0.0
189,2012-07-08,0.0
190,2012-07-09,0.0
191,2012-07-10,0.0
192,2012-07-11,0.0
193,2012-07-12,0.0
194,2012-07-13,0.0
195,2012-07-14,0.0
196,2012-07-15,0.0
197,2012-07-16,0.0
198,2012-07-17,0.0
199,2012-07-18,0.0
200,2012-07-19,0.0
201,2012-07-20,0.0
202,2012-07-21,0.0
203,2012-07-22,0.0
204,2012-07-23,910.0
205,2012-07-24,0.0
206,2012-07-25,0.0
207,2012-07-26,1330.0
208,2012-07-27,2215.0
209,2012-07-28,915.0
210,2012-07-29,915.0
211,2012-07-30,0.0
212,2012-07-31,0.0
213,2012-08-01,0.0
214,2012-08-02,0.0
215,2012-08-03,0.0
216,2012-08-04,0.0
217,2012-08-05,0.0
218,2012-08-06,0.0
219,2012-08-07,0.0
220,2012-08-08,0.0
221,2012-08-09,0.0
222,2012-08-10,0.0
223,2012-08-11,0.0
224,2012-08-12,0.0
225,2012-08-13,0.0
226,2012-08-14,0.0
227,2012-08-15,0.0
228,2012-08-16,0.0
229,2012-08-17,0.0
230,2012-08-18,0.0
231,2012-08-19,0.0
232,2012-08-20,0.0
233,2012-08-21,0.0
234,2012-08-22,0.0
235,2012-08-23,910.0
236,2012-08-24,0.0
237,2012-08-25,0.0
238,2012-08-26,0.0
239,2012-08-27,0.0
240,2012-08-28,0.0
241,2012-08-29,0.0
242,2012-08-30,0.0
243,2012-08-31,915.0
244,2012-09-01,915.0
245,2012-09-02,0.0
246,2012-09-03,0.0
247,2012-09-04,0.0
248,2012-09-05,0.0
249,2012-09-06,910.0
250,2012-09-07,910.0
251,2012-09-08,0.0
252,2012-09-09,0.0
253,2012-09-10,0.0
254,2012-09-11,1300.0
255,2012-09-12,0.0
256,2012-09-13,1300.0
257,2012-09-14,2210.0
258,2012-09-15,910.0
259,2012-09-16,910.0
260,2012-09-17,0.0
261,2012-09-18,0.0
262,2012-09-19,0.0
263,2012-09-20,0.0
264,2012-09-21,0.0
265,2012-09-22,0.0
266,2012-09-23,0.0
267,2012-09-24,0.0
268,2012-09-25,915.0
269,2012-09-26,0.0
270,2012-09-27,0.0
271,2012-09-28,0.0
272,2012-09-29,0.0
