,Date,MaxTemperature,MinTemperature,Month,WeekDay,is_WeekDay,Holiday,Index,OddWeekday,OddHoliday,OddTemp,OddNeighbor,HD_predicted,nonWorkingDay,ToTag,frequency
5,2013-01-02 00:00:00,8.482950000000002,3.69,1,2,1,Day,6,0,0,0,0,0,0,0,10
16,2013-01-13 00:00:00,4.924950000000001,2.1567,1,6,0,Day,17,1,0,0,0,0,0,0,3
18,2013-01-15 00:00:00,3.8716,1.1007750000000005,1,1,1,Day,19,0,0,0,0,0,0,0,2
20,2013-01-17 00:00:00,0.48955,-3.5180000000000007,1,3,1,Day,21,0,0,0,1,0,0,0,6
22,2013-01-19 00:00:00,2.52,-0.02220000000000007,1,5,0,Day,23,0,0,0,0,0,0,0,7
42,2013-02-08 00:00:00,4.8069,1.1182,2,4,1,Day,43,0,0,0,0,0,0,0,4
52,2013-02-18 00:00:00,8.526500000000002,0.96405,2,0,1,Day,53,0,0,0,0,0,0,0,1
57,2013-02-23 00:00:00,-0.16009999999999994,-3.32305,2,5,0,Day,58,0,0,0,0,0,0,0,10
59,2013-02-25 00:00:00,2.9693000000000005,-0.5983499999999999,2,0,1,Day,60,0,0,0,0,0,0,0,3
65,2013-03-03 00:00:00,9.355099999999998,0.3727,3,6,0,Day,66,1,0,0,0,0,0,0,9
66,2013-03-04 00:00:00,14.33435,0.7494000000000001,3,0,1,Day,67,0,0,0,0,0,0,0,8
76,2013-03-14 00:00:00,4.9376,-0.32309999999999994,3,3,1,Day,77,0,0,0,0,0,0,0,5
77,2013-03-15 00:00:00,7.189850000000002,-1.8256,3,4,1,Day,78,0,0,0,0,0,0,0,5
93,2013-03-31 00:00:00,8.26825,1.6627000000000005,3,6,0,Day,94,0,0,0,0,0,0,0,7
94,2013-04-01 00:00:00,9.829,1.0368500000000005,4,0,1,Holiday,95,0,1,0,0,1,0,0,4
107,2013-04-14 00:00:00,23.100850000000005,10.5953,4,6,0,Day,108,0,0,1,0,0,0,0,10
119,2013-04-26 00:00:00,14.7756,8.765199999999998,4,4,1,Day,120,0,0,1,0,0,0,0,8
124,2013-05-01 00:00:00,14.73565,9.51565,5,2,1,Holiday,125,0,1,0,0,1,0,0,6
127,2013-05-04 00:00:00,17.465500000000002,8.0829,5,5,0,Day,128,0,0,0,0,0,0,0,1
130,2013-05-07 00:00:00,20.5373,11.15065,5,1,1,Day,131,0,0,0,0,0,0,0,2
132,2013-05-09 00:00:00,16.94065,11.520600000000002,5,3,1,Holiday,133,0,1,1,0,1,0,0,8
148,2013-05-25 00:00:00,13.0085,6.498550000000002,5,5,0,Day,149,0,0,0,0,0,0,0,2
156,2013-06-02 00:00:00,18.06945,10.456450000000002,6,6,0,Day,157,0,0,0,0,0,0,0,3
170,2013-06-16 00:00:00,24.659650000000006,12.614350000000002,6,6,0,Day,171,0,0,0,0,0,0,0,5
184,2013-06-30 00:00:00,23.3512,12.7436,6,6,0,Day,185,0,0,0,0,0,0,0,2
204,2013-07-20 00:00:00,29.4472,18.32495,7,5,0,Day,205,0,0,0,0,0,0,0,3
218,2013-08-03 00:00:00,25.81975,18.37045,8,5,0,Day,219,0,0,0,0,0,0,0,4
231,2013-08-16 00:00:00,27.24235,14.535100000000002,8,4,1,Holiday,232,0,1,0,0,1,0,0,9
240,2013-08-25 00:00:00,18.8277,14.119849999999998,8,6,0,Day,241,0,0,0,0,0,0,0,9
303,2013-10-27 00:00:00,17.99165,14.5292,10,6,0,Day,304,1,0,0,0,0,0,0,3
327,2013-11-20 00:00:00,5.8454500000000005,2.0523,11,2,1,Day,328,0,0,0,0,0,0,0,3
397,2014-01-29 00:00:00,6.2682,3.4196000000000004,1,2,1,Day,398,0,0,0,0,0,0,0,1
435,2014-03-08 00:00:00,17.724750000000004,4.175000000000002,3,5,0,Day,436,0,0,0,0,0,0,0,9
437,2014-03-10 00:00:00,17.954050000000006,4.60395,3,0,1,Day,438,0,0,0,0,0,0,0,9
446,2014-03-19 00:00:00,16.1137,7.254225000000001,3,2,1,Day,447,0,0,0,0,0,0,0,4
451,2014-03-24 00:00:00,9.920550000000002,2.7836000000000003,3,0,1,Day,452,0,0,0,0,0,0,0,1
455,2014-03-28 00:00:00,15.3308,3.3355500000000005,3,4,1,Day,456,0,0,0,0,0,0,0,7
457,2014-03-30 00:00:00,17.647650000000006,9.65835,3,6,0,Day,458,1,0,0,0,0,0,0,7
463,2014-04-05 00:00:00,17.0758,9.06115,4,5,0,Day,464,1,0,0,0,0,0,0,1
470,2014-04-12 00:00:00,18.04865,7.85975,4,5,0,Day,471,1,0,0,0,0,0,0,1
478,2014-04-20 00:00:00,14.2555,6.7132,4,6,0,Day,479,1,0,0,0,0,0,0,7
491,2014-05-03 00:00:00,14.116550000000002,7.79935,5,5,0,Day,492,1,0,0,0,0,0,0,3
493,2014-05-05 00:00:00,21.58875,6.327700000000001,5,0,1,Day,494,0,0,0,0,0,0,0,9
497,2014-05-09 00:00:00,19.36835,12.761599999999998,5,4,1,Day,498,0,0,0,0,0,0,0,9
505,2014-05-17 00:00:00,21.118000000000002,8.9736,5,5,0,Day,506,0,0,0,0,0,0,0,9
513,2014-05-25 00:00:00,19.04405,8.8771,5,6,0,Day,514,1,0,0,0,0,0,0,3
518,2014-05-30 00:00:00,19.75755,11.6343,5,4,1,Day,519,0,0,0,0,0,0,0,10
519,2014-05-31 00:00:00,20.36675,11.2536,5,5,0,Day,520,1,0,0,0,0,0,0,3
520,2014-06-01 00:00:00,19.89515,10.81155,6,6,0,Day,521,0,0,0,0,0,0,0,4
564,2014-07-15 00:00:00,25.3654,13.9522,7,1,1,Day,565,0,0,0,0,0,0,0,5
566,2014-07-17 00:00:00,31.11,17.444750000000006,7,3,1,Day,567,0,0,0,0,0,0,0,9
576,2014-07-27 00:00:00,26.746400000000005,16.837449999999997,7,6,0,Day,577,0,0,0,0,0,0,0,5
588,2014-08-08 00:00:00,24.277449999999995,17.47435,8,4,1,Day,589,0,0,0,0,0,0,0,5
591,2014-08-11 00:00:00,21.8759,15.3123,8,0,1,Day,592,0,0,0,0,0,0,0,4
592,2014-08-12 00:00:00,21.6943,14.575950000000004,8,1,1,Day,593,0,0,0,0,0,0,0,6
594,2014-08-14 00:00:00,20.3347,13.70635,8,3,1,Day,595,0,0,0,0,0,0,0,7
596,2014-08-16 00:00:00,21.7034,12.42055,8,5,0,Holiday,597,1,1,0,0,1,0,0,8
601,2014-08-21 00:00:00,20.73565,9.9709,8,3,1,Day,602,0,0,0,0,0,0,0,10
603,2014-08-23 00:00:00,19.89795,13.195300000000005,8,5,0,Day,604,0,0,0,0,0,0,0,6
604,2014-08-24 00:00:00,20.960300000000004,10.721749999999998,8,6,0,Day,605,0,0,0,0,0,0,0,9
675,2014-11-03 00:00:00,15.2877,11.273125,11,0,1,Day,676,0,0,1,0,0,0,0,9
703,2014-12-01 00:00:00,7.662400000000001,5.092025,12,0,1,Day,704,0,0,0,0,0,0,0,8
705,2014-12-03 00:00:00,5.48615,3.78355,12,2,1,Day,706,0,0,0,0,0,0,0,7
730,2014-12-28 00:00:00,2.5422,-2.465525,12,6,0,Day,731,1,0,1,1,0,0,0,10
762,2015-01-29 00:00:00,7.0792,3.839925,1,3,1,Day,763,0,0,0,0,0,0,0,1
771,2015-02-07 00:00:00,4.9249,-1.2146499999999998,2,5,0,Day,772,0,0,0,0,0,0,0,8
773,2015-02-09 00:00:00,7.01215,-0.6317500000000001,2,0,1,Day,774,0,0,0,0,0,0,0,5
776,2015-02-12 00:00:00,9.574300000000003,-0.39935,2,3,1,Day,777,0,0,0,0,0,0,0,6
793,2015-03-01 00:00:00,11.68235,7.536100000000001,3,6,0,Day,794,1,0,0,0,0,0,0,1
797,2015-03-05 00:00:00,10.5587,1.5417500000000004,3,3,1,Day,798,0,0,0,0,0,0,0,10
798,2015-03-06 00:00:00,12.59635,0.4413000000000001,3,4,1,Day,799,0,0,0,0,0,0,0,8
799,2015-03-07 00:00:00,15.315999999999999,1.7301000000000002,3,5,0,Day,800,1,0,0,0,0,0,0,8
815,2015-03-23 00:00:00,13.687649999999998,2.2340500000000003,3,0,1,Day,816,0,0,0,0,0,0,0,8
829,2015-04-06 00:00:00,13.3898,2.3904,4,0,1,Holiday,830,0,1,0,0,1,0,0,7
830,2015-04-07 00:00:00,15.5128,3.9365,4,1,1,Day,831,0,0,0,0,0,0,0,8
831,2015-04-08 00:00:00,17.6909,3.44425,4,2,1,Day,832,0,0,0,1,0,0,0,7
835,2015-04-12 00:00:00,19.541500000000006,6.5035,4,6,0,Day,836,0,0,0,0,0,0,0,6
854,2015-05-01 00:00:00,13.7364,10.78995,5,4,1,Holiday,855,0,1,0,0,1,0,0,8
867,2015-05-14 00:00:00,17.7833,10.494275000000002,5,3,1,Holiday,868,0,1,1,0,1,0,0,5
870,2015-05-17 00:00:00,19.961550000000006,9.99095,5,6,0,Day,871,0,0,0,0,0,0,0,1
884,2015-05-31 00:00:00,19.997100000000003,12.381500000000004,5,6,0,Day,885,1,0,0,0,0,0,0,6
912,2015-06-28 00:00:00,28.179300000000005,13.9651,6,6,0,Day,913,0,0,0,0,0,0,0,4
916,2015-07-02 00:00:00,29.68415,19.731250000000006,7,3,1,Day,917,0,0,0,0,0,0,0,2
928,2015-07-14 00:00:00,26.643650000000004,17.441450000000003,7,1,1,Holiday,929,0,1,0,0,1,0,0,7
