,Date,commentaire JF,MaxTemperature," ""MinTemperature""",Month,WeekDay,is_WeekDay,Holiday,Index,OddWeekday,OddHoliday,OddTemp,OddNeighbor,HD_predicted,nonWorkingDay,ToTag,frequency
3,2012-12-31 00:00:00,veille JF,11.010599999999998,6.0206,12,0,1,Day,4,0,1,0,0,0,1.0,4,9
4,2013-01-01 00:00:00,JF,8.948899999999998,4.689225,1,1,1,Holiday,5,0,0,0,0,2,1.0,3,8
5,2013-01-02 00:00:00,lendemain de JF,8.482950000000002,3.69,1,2,1,Day,6,0,0,0,1,0,,5,10
29,2013-01-26 00:00:00,,5.927850000000001,-0.83415,1,5,0,Day,30,0,0,0,0,0,,0,2
65,2013-03-03 00:00:00,,9.355099999999998,0.3727,3,6,0,Day,66,0,0,0,0,0,,0,4
66,2013-03-04 00:00:00,,14.33435,0.7494000000000001,3,0,1,Day,67,0,0,0,0,0,,6,9
73,2013-03-11 00:00:00,,8.51285,4.1317,3,0,1,Day,74,0,0,0,0,0,,6,10
75,2013-03-13 00:00:00,,3.856500000000001,-1.9505000000000003,3,2,1,Day,76,0,0,1,0,0,,6,5
93,2013-03-31 00:00:00,veille de JF,8.26825,1.6627000000000005,3,6,0,Day,94,1,0,0,0,0,,0,6
94,2013-04-01 00:00:00,JF,9.829,1.0368500000000005,4,0,1,Holiday,95,0,0,0,0,2,1.0,3,9
95,2013-04-02 00:00:00,lendemain de JF,10.990600000000002,2.82395,4,1,1,Day,96,0,0,0,0,0,,5,8
97,2013-04-04 00:00:00,,8.966199999999997,3.0141500000000008,4,3,1,Day,98,0,0,0,0,0,,0,4
100,2013-04-07 00:00:00,,10.678499999999998,2.7381,4,6,0,Day,101,0,0,0,0,0,,0,7
107,2013-04-14 00:00:00,,23.100850000000005,10.5953,4,6,0,Day,108,0,0,0,1,0,,6,10
124,2013-05-01 00:00:00,JF,14.73565,9.51565,5,2,1,Holiday,125,0,0,0,0,2,1.0,3,6
125,2013-05-02 00:00:00,lendemain de JF,16.349500000000006,8.7978,5,3,1,Day,126,0,0,0,0,0,,5,9
132,2013-05-09 00:00:00,JF,16.94065,11.520600000000002,5,3,1,Holiday,133,0,0,0,0,2,1.0,3,8
133,2013-05-10 00:00:00,lendemain de JF,15.25955,9.94775,5,4,1,Day,134,0,0,0,0,0,,5,7
155,2013-06-01 00:00:00,,18.276200000000006,11.2976,6,5,0,Day,156,0,0,0,0,0,,0,10
171,2013-06-17 00:00:00,,25.81785,16.452700000000004,6,0,1,Day,172,0,0,0,0,0,,0,2
213,2013-07-29 00:00:00,,23.8296,16.7588,7,0,1,Day,214,0,0,0,0,0,,0,4
219,2013-08-04 00:00:00,,27.22295,16.91385,8,6,0,Day,220,1,0,1,0,0,,0,3
230,2013-08-15 00:00:00,JF,26.570999999999998,13.3051,8,3,1,Holiday,231,0,0,0,0,2,1.0,3,10
231,2013-08-16 00:00:00,,27.24235,14.535100000000002,8,4,1,Day,232,0,0,0,0,0,,5,3
268,2013-09-22 00:00:00,,22.60695,13.16075,9,6,0,Day,269,0,0,0,0,0,,0,4
287,2013-10-11 00:00:00,,11.9533,7.18505,10,4,1,Day,288,0,0,0,0,0,,5,7
289,2013-10-13 00:00:00,,14.6495,5.4068,10,6,0,Day,290,0,0,0,0,0,,0,1
292,2013-10-16 00:00:00,,17.344500000000004,11.715800000000002,10,2,1,Day,293,0,0,0,0,0,,0,8
295,2013-10-19 00:00:00,,19.7725,12.283149999999996,10,5,0,Day,296,1,0,0,0,0,,0,4
308,2013-11-01 00:00:00,,13.37185,8.213149999999999,11,4,1,Holiday,309,0,0,0,0,2,1.0,3,5
309,2013-11-02 00:00:00,lendemain de JF,16.7475,11.38935,11,5,0,Day,310,1,0,0,0,0,,0,6
313,2013-11-06 00:00:00,,16.92345,12.2106,11,2,1,Day,314,0,0,0,0,0,,0,6
318,2013-11-11 00:00:00,JF,10.63225,4.76605,11,0,1,Holiday,319,0,0,0,0,2,1.0,3,6
319,2013-11-12 00:00:00,,11.618950000000002,7.113649999999999,11,1,1,Day,320,0,0,0,0,0,,5,4
327,2013-11-20 00:00:00,,5.8454500000000005,2.0523,11,2,1,Day,328,0,0,0,0,0,,0,5
346,2013-12-09 00:00:00,,8.857400000000002,-0.66175,12,0,1,Day,347,0,0,0,0,0,,0,9
360,2013-12-23 00:00:00,semaine de noel ,12.1741,7.37955,12,0,1,Day,361,0,0,0,0,0,,4,8
361,2013-12-24 00:00:00,veille JF,11.900099999999995,10.327099999999998,12,1,1,Day,362,0,0,0,0,0,,4,8
362,2013-12-25 00:00:00,JF,10.183199999999998,5.610099999999999,12,2,1,Holiday,363,0,0,0,0,2,1.0,3,9
363,2013-12-26 00:00:00,lendemain de JF,8.28585,4.7333,12,3,1,Day,364,0,0,0,0,0,,4,10
364,2013-12-27 00:00:00,,11.547150000000002,5.56125,12,4,1,Day,365,1,0,0,0,0,1.0,4,1
